01/01/2004,51.02423924,ND,34.3137748,ND,47.21711154,ND,56.911,ND,53.318,ND,63.99,ND,
01/09/2011,54.95283679,-0.131023722,47.76475104,-0.046699495,52.50736701,-0.302632897,55.657,-0.901,56.769,-0.042,61.511,0.423,
01/10/2011,54.47082749,-0.482009305,47.14237586,-0.622375175,51.95993619,-0.547430828,55.29,-0.367,55.74,-1.029,61.421,-0.09,
01/11/2011,55.10033585,0.629508365,46.45228442,-0.690091442,52.60402672,0.64409053,56.588,1.298,56.645,0.905,62.393,0.972,
01/12/2011,54.45379534,-0.646540514,44.4894007,-1.96288372,52.55321006,-0.050816651,55.825,-0.763,56.228,-0.417,61.956,-0.437,
01/01/2012,55.29364589,0.839850548,47.5566206,3.067219899,52.92843224,0.375222176,56.126,0.301,56.039,-0.189,61.7,-0.256,
01/02/2012,55.84204529,0.548399406,48.35295545,0.796334855,54.31878376,1.390351516,56.085,-0.041,57.022,0.983,62.276,0.576,
01/03/2012,55.09440318,-0.747642114,46.63978541,-1.713170047,53.71117987,-0.607603891,56.318,0.233,57.309,0.287,61.679,-0.597,
01/04/2012,54.52721103,-0.56719215,45.42615389,-1.213631514,52.49769326,-1.213486605,56.54,0.222,57.223,-0.086,61.906,0.227,
01/05/2012,53.54963897,-0.977572064,43.90408107,-1.522072819,51.34243909,-1.15525417,55.865,-0.675,57.081,-0.142,61.453,-0.453,
01/06/2012,53.96309832,0.413459355,43.56743733,-0.336643743,52.15455955,0.812120455,56.554,0.689,58.066,0.985,61.626,0.173,
01/07/2012,53.7880829,-0.175015422,43.19680794,-0.370629396,52.1985598,0.044000255,55.906,-0.648,57.706,-0.36,61.934,0.308,
01/08/2012,54.85516585,1.067082951,44.90276997,1.705962038,53.076318,0.877758202,55.957,0.051,57.692,-0.014,61.99,0.056,
01/09/2012,55.29911888,0.443953031,45.60967079,0.706900814,53.92801701,0.85169901,56.657,0.7,57.214,-0.478,62.25,0.26,
01/10/2012,55.77914821,0.480029332,47.20757573,1.597904946,54.25687574,0.328858726,56.918,0.261,56.844,-0.37,62.465,0.215,
01/11/2012,56.55271335,0.77356514,48.08159612,0.874020385,55.1405638,0.883688058,57.772,0.854,57.617,0.773,63.163,0.698,
